N;INSTANCE;type;clingoPAR1;waspPAR1;wasp-amoPAR1
1;0000-knapsack-10-22288-53089-type1.asp;type1;0.109;0.11;0.11
2;0001-knapsack-10-21042-17651-type1.asp;type1;0.108;0.111;0.111
3;0002-knapsack-10-21756-170352-type1.asp;type1;0.109;1200;0.109
11;0010-knapsack-15-31468-290878-type1.asp;type1;0.217;1200;0.109
12;0011-knapsack-15-32223-358414-type1.asp;type1;1001;1200;1200
13;0012-knapsack-15-31913-287075-type1.asp;type1;0.109;1200;0.109
21;0020-knapsack-20-41128-175561-type1.asp;type1;0.108;1200;0.109
22;0021-knapsack-20-41279-403695-type1.asp;type1;0.865;1200;0.222
23;0022-knapsack-20-44114-49679-type1.asp;type1;0.108;0.109;0.109
31;0030-knapsack-25-52990-9955-type1.asp;type1;0.108;0.109;0.11
32;0031-knapsack-25-50200-639537-type1.asp;type1;1200;1200;1200
33;0032-knapsack-25-53336-388202-type1.asp;type1;0.543;1200;0.109
41;0040-knapsack-30-61173-895695-type1.asp;type1;1200;1200;1200
42;0041-knapsack-30-62878-327849-type1.asp;type1;0.436;1200;0.223
43;0042-knapsack-30-63907-583857-type1.asp;type1;1.182;1200;0.109
51;0050-knapsack-35-72567-286107-type1.asp;type1;0.109;1200;0.221
52;0051-knapsack-35-73333-295654-type1.asp;type1;0.325;1200;0.221
53;0052-knapsack-35-74447-1038037-type1.asp;type1;1200;1200;1200
61;0060-knapsack-40-82993-6506-type1.asp;type1;0.109;0.108;0.268
62;0061-knapsack-40-84412-496339-type1.asp;type1;0.974;1200;0.222
63;0062-knapsack-40-84127-430372-type1.asp;type1;0.866;1200;0.221
71;0070-knapsack-45-94296-52683-type1.asp;type1;0.108;0.108;0.221
72;0071-knapsack-45-94853-909095-type1.asp;type1;25.42;1200;0.221
73;0072-knapsack-45-96057-1058357-type1.asp;type1;222;1200;124.8
81;0080-knapsack-50-105781-321032-type1.asp;type1;0.109;1200;0.221
82;0081-knapsack-50-104657-1358840-type1.asp;type1;1200;1200;1200
83;0082-knapsack-50-104834-359799-type1.asp;type1;0.217;1200;0.221
91;0090-knapsack-55-116682-1321054-type1.asp;type1;1200;1200;1200
92;0091-knapsack-55-115607-1559899-type1.asp;type1;1200;1200;1200
93;0092-knapsack-55-116950-829874-type1.asp;type1;3.054;1200;0.221
