tipo amowasp clingo wasp amowasp2 clingo2 wasp2
$10^1$-0.15	0	1	1	0	3207378	228698
$10^1$-0.45	0	1	1506	0	112327	58368
$10^1$-0.6	0	27	70594	0	4845	2492
$10^1$-0.9	0	2453921	194496	0	22	8
$10^2$-0.15	0	74	549	0	263569	53629
$10^2$-0.45	0	124	100607	0	370134	76733
$10^2$-0.6	0	232	95725	0	476627	152531
$10^2$-0.9	0	47209	71962	0	64	98
$10^3$-0.15	0	6	6397	0	59024	10811
$10^3$-0.45	0	3004	8907	0	22660	15519
$10^3$-0.6	0	4112	8253	0	33102	25730
$10^3$-0.9	0	44378	7461	0	855	998
