N;INSTANCE;type;clingoPAR1;waspPAR1;wasp-amoPAR1
4;0003-knapsack-10-19930-128092-type2.asp;type2;0.108;1200;0.11
5;0004-knapsack-10-21938-2349242-type2.asp;type2;0.109;0.109;0.11
6;0005-knapsack-10-20648-1499819-type2.asp;type2;31.44;1200;0.109
14;0013-knapsack-15-31638-1648367-type2.asp;type2;1200;1200;0.109
15;0014-knapsack-15-32094-3156162-type2.asp;type2;62.66;1200;0.109
16;0015-knapsack-15-30004-4667181-type2.asp;type2;0.108;0.109;0.109
24;0023-knapsack-20-42127-3430317-type2.asp;type2;1200;1200;0.109
25;0024-knapsack-20-42753-3012507-type2.asp;type2;1200;1200;0.109
26;0025-knapsack-20-42009-427203-type2.asp;type2;0.651;1200;29.67
34;0033-knapsack-25-52540-4802227-type2.asp;type2;1200;1200;0.109
35;0034-knapsack-25-52958-2871748-type2.asp;type2;1200;1200;0.11
36;0035-knapsack-25-52210-5804077-type2.asp;type2;1200;1200;0.109
44;0043-knapsack-30-62387-7796625-type2.asp;type2;76.76;1200;0.109
45;0044-knapsack-30-62393-2778405-type2.asp;type2;1200;1200;0.109
46;0045-knapsack-30-62911-5453639-type2.asp;type2;1200;1200;0.109
54;0053-knapsack-35-75718-10671158-type2.asp;type2;0.108;0.109;0.109
55;0054-knapsack-35-72036-50548-type2.asp;type2;0.108;0.109;0.222
56;0055-knapsack-35-74218-9779988-type2.asp;type2;9.683;42.8;0.11
64;0063-knapsack-40-82756-6700903-type2.asp;type2;1200;1200;0.109
65;0064-knapsack-40-84145-1375257-type2.asp;type2;1200;1200;0.109
66;0065-knapsack-40-85591-823859-type2.asp;type2;5.641;1200;0.221
74;0073-knapsack-45-96919-281560-type2.asp;type2;0.108;1200;0.223
75;0074-knapsack-45-94326-9228924-type2.asp;type2;1200;1200;0.109
76;0075-knapsack-45-95363-3545837-type2.asp;type2;1200;1200;0.111
84;0083-knapsack-50-104518-11425560-type2.asp;type2;1200;1200;0.11
85;0084-knapsack-50-104758-5642510-type2.asp;type2;1200;1200;0.109
86;0085-knapsack-50-106927-836234-type2.asp;type2;4.719;1200;0.221
94;0093-knapsack-55-116052-6934275-type2.asp;type2;1200;1200;0.113
95;0094-knapsack-55-115450-13897471-type2.asp;type2;1200;1200;0.111
96;0095-knapsack-55-115946-15569240-type2.asp;type2;115.1;1200;0.109
