#;GROUP;INSTANCE;clingoPAR1;waspPAR1;wasp-amoPAR1
94;1;0032-graph_colouring-140-0_1344.asp;93.957;648.555;1200
95;2;0032-graph_colouring-140-0_4032.asp;89.917;670.72;1200
96;0;0032-graph_colouring-140-0_6720.asp;132.295;1200;22.553
97;1;0033-graph_colouring-140-0_1344.asp;1200;1200;1200
98;2;0033-graph_colouring-140-0_4032.asp;1200;1200;1200
99;0;0033-graph_colouring-140-0_6720.asp;1200;1200;19.516
100;1;0034-graph_colouring-140-0_1344.asp;512.33;1200;1200
101;2;0034-graph_colouring-140-0_4032.asp;533.429;1200;1200
102;0;0034-graph_colouring-140-0_6720.asp;605.162;1200;74.095
103;1;0035-graph_colouring-140-0_1344.asp;1200;1200;1200
104;2;0035-graph_colouring-140-0_4032.asp;1200;1200;1200
105;0;0035-graph_colouring-140-0_6720.asp;1200;1200;52.878
106;1;0036-graph_colouring-140-0_1344.asp;1200;1200;1200
107;2;0036-graph_colouring-140-0_4032.asp;1200;1200;1200
108;0;0036-graph_colouring-140-0_6720.asp;1200;1200;23.567
109;1;0037-graph_colouring-140-0_1344.asp;1200;1200;1200
110;2;0037-graph_colouring-140-0_4032.asp;1200;1200;1200
111;0;0037-graph_colouring-140-0_6720.asp;1200;1200;19
112;1;0038-graph_colouring-140-0_1344.asp;1200;1200;1200
113;2;0038-graph_colouring-140-0_4032.asp;1200;1200;1200
114;0;0038-graph_colouring-140-0_6720.asp;1200;1200;22.551
115;1;0039-graph_colouring-140-0_1344.asp;1200;1200;1200
116;2;0039-graph_colouring-140-0_4032.asp;1200;1200;1200
117;0;0039-graph_colouring-140-0_6720.asp;1200;1200;45.801
118;1;0040-graph_colouring-140-0_1344.asp;1200;1200;1200
119;2;0040-graph_colouring-140-0_4032.asp;1200;1200;1200
120;0;0040-graph_colouring-140-0_6720.asp;1200;1200;85.219
121;1;0041-graph_colouring-145-0_1392.asp;1200;1200;1200
122;2;0041-graph_colouring-145-0_4176.asp;1200;1200;1200
123;0;0041-graph_colouring-145-0_6960.asp;1200;1200;41.75
