N;INSTANCE;type;clingoPAR1;waspPAR1;wasp-amoPAR1
9;0008-knapsack-10-20024-285491-type4.asp;type4;1200;1200;0.109
10;0009-knapsack-10-20694-295699-type4.asp;type4;1200;1200;0.109
19;0018-knapsack-15-28866-444470-type4.asp;type4;1200;1200;0.333
20;0019-knapsack-15-31862-458816-type4.asp;type4;1200;1200;0.109
29;0028-knapsack-20-41355-601422-type4.asp;type4;1200;1200;1200
30;0029-knapsack-20-41653-603061-type4.asp;type4;1200;1200;1200
39;0038-knapsack-25-51562-749539-type4.asp;type4;1200;1200;1200
40;0039-knapsack-25-52442-751649-type4.asp;type4;1200;1200;1200
49;0048-knapsack-30-63515-899960-type4.asp;type4;1200;1200;1089
50;0049-knapsack-30-63347-901935-type4.asp;type4;1200;1200;126.8
59;0058-knapsack-35-73567-1050502-type4.asp;type4;1200;1200;1200
60;0059-knapsack-35-74174-1066163-type4.asp;type4;1200;1200;9.322
69;0068-knapsack-40-85484-1199288-type4.asp;type4;1200;1200;1200
70;0069-knapsack-40-85324-1197678-type4.asp;type4;1200;1200;1200
79;0078-knapsack-45-93147-1350924-type4.asp;type4;1200;1200;1200
80;0079-knapsack-45-95173-1355003-type4.asp;type4;1200;1200;1200
89;0088-knapsack-50-104207-1501743-type4.asp;type4;1200;1200;0.11
90;0089-knapsack-50-104755-1504987-type4.asp;type4;1200;1200;0.11
99;0098-knapsack-55-116558-1647271-type4.asp;type4;1200;1200;1200
100;0099-knapsack-55-115339-1650836-type4.asp;type4;1200;1200;1200
